date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-03-30,Amex Platinum,BILLALEKODEU(villa rSEOUL,-137.9,Restaurant-Restaurant,BILLALEKODEU(villa rSEOUL,RESTAURANT | BILLALEKODEU(villa records) | SEOUL | RESTAURANT,186000.00 KOREAN (SOUTH) WON,'320240910726896188',"KOREA, REPUBLIC OF"
2024-03-30,Amex Platinum,JAKJEONG            SEOUL,-590.89,Restaurant-Restaurant,JAKJEONG            SEOUL,RESTAURANT | JAKJEONG | SEOUL | RESTAURANT,797000.00 KOREAN (SOUTH) WON,'320240910727152290',"KOREA, REPUBLIC OF"
2024-03-30,Amex Platinum,the viewsic bar     SEOUL,-11.12,Restaurant-Restaurant,the viewsic bar     SEOUL,RESTAURANT | the viewsic bar | SEOUL | RESTAURANT,15000.00 KOREAN (SOUTH) WON,'320240910726912628',"KOREA, REPUBLIC OF"
