date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-01-08,Amex Platinum,AGODA.COM GRANBELL HLONDON              GB,-59.99,Travel-Travel Agencies,AGODA.COM GRANBELL HLONDON              GB,#######bFUD TRAVEL AGENCY | AGODA.COM GRANBELL H | LONDON | GB | TRAVEL AGENCY,,'320240110795502556',
2024-01-08,Amex Platinum,DISTILLERYSHOPNORTHLHOKKAIDO            JP,-11.82,Merchandise & Supplies-Groceries,DISTILLERYSHOPNORTHLHOKKAIDO            JP,412G3V40479 04922113507393 | DISTILLERYSHOPNORTHLAND | HOKKAIDO | JP | 04922113507393,1700.00 JAPANESE YEN,'320240080735104930',JAPAN
2024-01-08,Amex Platinum,DISTILLERYSHOPNORTHLHOKKAIDO            JP,-180.74,Merchandise & Supplies-Groceries,DISTILLERYSHOPNORTHLHOKKAIDO            JP,412G3V40479 04922113507393 | DISTILLERYSHOPNORTHLAND | HOKKAIDO | JP | 04922113507393,25990.00 JAPANESE YEN,'320240080735115018',JAPAN
2024-01-08,Amex Platinum,IZAKAYA ARATA AIR   HOKKAIDO            JP,-241.43,Restaurant-Restaurant,IZAKAYA ARATA AIR   HOKKAIDO            JP,412G1C02100 57055231710298 | IZAKAYA ARATA AIR | HOKKAIDO | JP | 57055231710298,34727.00 JAPANESE YEN,'320240090757785557',JAPAN
2024-01-08,Amex Platinum,MIDORINOKAZERESORT KHOKKAIDO            JP,-6.85,Travel-Lodging,MIDORINOKAZERESORT KHOKKAIDO            JP,410G5509451 30302439500018 | MIDORINOKAZERESORT KITAYU | HOKKAIDO | JP | 30302439500018,985.00 JAPANESE YEN,'320240080735147401',JAPAN
2024-01-08,Chase Ink,DISTILLERYSHOPNORTHLAND,-47.42,Food & Drink,,,,,
2024-01-08,Chase Ink,OPENAI,-34.97,Office & Shipping,,,,,
