date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-07-07,Chase Ink,LKL*KEZEE CHAN,-57.51,Food & Drink,,,,,
2024-07-07,Chase Ink,LKL*KEZEE CHAN,-26.98,Food & Drink,,,,,
2024-07-07,Chase Ink,ALP*DIDI Taxi,-1.54,Miscellaneous,,,,,
2024-07-07,Chase Ink,LKL*KEZEE CHAN,-28.46,Food & Drink,,,,,
2024-07-07,Chase Ink,LKL*KEZEE CHAN,-26.98,Food & Drink,,,,,
2024-07-07,Chase Ink,ALIPAY,-15.14,Merchandise & Inventory,,,,,
2024-07-07,Chase Ink,PURCHASE INTEREST CHARGE,-201.28,Fees & Adjustments,,,,,
