date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-07-08,Amex Platinum,AplPay AIRALO       SINGAPORE           SG,-16.5,Business Services-Internet Services,AplPay AIRALO       SINGAPORE           SG,NT_QRBHAPJ6 +6583029360 | AplPay AIRALO | SINGAPORE | SG | +6583029360,,'320241900256081530',SINGAPORE
2024-07-08,Chase Ink,ALP*,-1.65,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALP*Family Mart,-3.58,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALP*Wagas,-10.74,Food & Drink,,,,,
2024-07-08,Chase Ink,ALP*wuzhiyuan,-3.85,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALP*Wagas,-4.96,Food & Drink,,,,,
2024-07-08,Chase Ink,ALIPAY,-14.18,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALIPAY,-2.89,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALIPAY,-27.53,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALIPAY,-2.45,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALIPAY,-2.89,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,ALIPAY,-2.2,Merchandise & Inventory,,,,,
2024-07-08,Chase Ink,LKL*KEZEE CHAN,-58.09,Food & Drink,,,,,
2024-07-08,Checking,PwP  OPENAI      Privacycom TN: 9093906     WEB ID:  626060084,-5,MISC_DEBIT,,,,,
