date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-08-16,Amex Blue Sky,DEPTH JUSIKHOESA    SEOUL,-16.78,Restaurant-Restaurant,DEPTH JUSIKHOESA    SEOUL,RESTAURANT | DEPTH JUSIKHOESA | SEOUL | RESTAURANT,23000.00 KOREAN (SOUTH) WON,'320242300291140438',"KOREA, REPUBLIC OF"
2024-08-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.13,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,kakaomobility | $5.18 | FOREIGN TRANSACTION FEE,,'820242320360057431',
2024-08-16,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.45,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,DEPTH JUSIKHOESA | $16.78 | FOREIGN TRANSACTION FEE,,'820242300291140438',
2024-08-16,Amex Blue Sky,kakaomobility       SEOUL,-5.18,Merchandise & Supplies-General Retail,kakaomobility       SEOUL,MISC/SPECIALTY RETAIL | kakaomobility | SEOUL | MISC/SPECIALTY RETAIL,7100.00 KOREAN (SOUTH) WON,'320242320360057431',"KOREA, REPUBLIC OF"
