date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-08-28,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.25,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,kakaomobility | $9.56 | FOREIGN TRANSACTION FEE,,'820242420613390123',
2024-08-28,Amex Blue Sky,FOREIGN TRANSACTION FEE,-2.5,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,PAINAENKO | $92.63 | FOREIGN TRANSACTION FEE,,'820242420598915400',
2024-08-28,Amex Blue Sky,FOREIGN TRANSACTION FEE,-4.33,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,JUSIKHOESA AEBAENPEULROU | $160.47 | FOREIGN TRANSACTION FEE,,'820242420598918715',
2024-08-28,Amex Blue Sky,JUSIKHOESA AEBAENPEUSEOUL,-160.47,Restaurant-Restaurant,JUSIKHOESA AEBAENPEUSEOUL,RESTAURANT | JUSIKHOESA AEBAENPEULROU | SEOUL | RESTAURANT,220000.00 KOREAN (SOUTH) WON,'320242420598918715',"KOREA, REPUBLIC OF"
2024-08-28,Amex Blue Sky,PAINAENKO           SEOUL,-92.63,Restaurant-Restaurant,PAINAENKO           SEOUL,RESTAURANT | PAINAENKO | SEOUL | RESTAURANT,127000.00 KOREAN (SOUTH) WON,'320242420598915400',"KOREA, REPUBLIC OF"
2024-08-28,Amex Blue Sky,kakaomobility       SEOUL,-9.56,Merchandise & Supplies-General Retail,kakaomobility       SEOUL,MISC/SPECIALTY RETAIL | kakaomobility | SEOUL | MISC/SPECIALTY RETAIL,13100.00 KOREAN (SOUTH) WON,'320242420613390123',"KOREA, REPUBLIC OF"
2024-08-28,Checking,PwP  OPENAI      Privacycom TN: 3097680     WEB ID:  626060084,-10.9,MISC_DEBIT,,,,,
