date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-08-18,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.4,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,kakaomobility | $15.03 | FOREIGN TRANSACTION FEE,,'820242320358689971',
2024-08-18,Amex Blue Sky,FOREIGN TRANSACTION FEE,-9.84,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,JUSIKHOESA SEUTOGAENSEUTONDEU | $364.70 | FOREIGN TRANSACTION FEE,,'820242320341152913',
2024-08-18,Amex Blue Sky,JUSIKHOESA SEUTOGAENSEOUL,-364.7,Restaurant-Restaurant,JUSIKHOESA SEUTOGAENSEOUL,RESTAURANT | JUSIKHOESA SEUTOGAENSEUTONDEU | SEOUL | RESTAURANT,500000.00 KOREAN (SOUTH) WON,'320242320341152913',"KOREA, REPUBLIC OF"
2024-08-18,Amex Blue Sky,kakaomobility       SEOUL,-15.03,Merchandise & Supplies-General Retail,kakaomobility       SEOUL,MISC/SPECIALTY RETAIL | kakaomobility | SEOUL | MISC/SPECIALTY RETAIL,20600.00 KOREAN (SOUTH) WON,'320242320358689971',"KOREA, REPUBLIC OF"
