date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-08-20,Amex Blue Sky,BKRBEOGEOKINGCHEONGDSEOUL,-25.38,Restaurant-Bar & Café,BKRBEOGEOKINGCHEONGDSEOUL,FAST FOOD RESTAURANT | BKRBEOGEOKINGCHEONGDAMJEOM | SEOUL | FAST FOOD RESTAURANT,34800.00 KOREAN (SOUTH) WON,'320242340391711602',"KOREA, REPUBLIC OF"
2024-08-20,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.13,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,kakaomobility | $5.11 | FOREIGN TRANSACTION FEE,,'820242340406931620',
2024-08-20,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.68,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,BKRBEOGEOKINGCHEONGDAMJEOM | $25.38 | FOREIGN TRANSACTION FEE,,'820242340391711602',
2024-08-20,Amex Blue Sky,ONLINE PAYMENT - THANK YOU,40,,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,'320242330364683610',
2024-08-20,Amex Blue Sky,kakaomobility       SEOUL,-5.11,Merchandise & Supplies-General Retail,kakaomobility       SEOUL,MISC/SPECIALTY RETAIL | kakaomobility | SEOUL | MISC/SPECIALTY RETAIL,7000.00 KOREAN (SOUTH) WON,'320242340406931620',"KOREA, REPUBLIC OF"
2024-08-20,Amex Platinum,AplPay KOREA7       SEOUL,-13.49,Merchandise & Supplies-General Retail,AplPay KOREA7       SEOUL,MISC/SPECIALTY RETAIL | AplPay KOREA7 | SEOUL | MISC/SPECIALTY RETAIL,18500.00 KOREAN (SOUTH) WON,'320242340391750019',"KOREA, REPUBLIC OF"
2024-08-20,Amex Platinum,AplPay Olive Young  SEOUL,-28.15,Merchandise & Supplies-Department Stores,AplPay Olive Young  SEOUL,COSMETIC STORE | AplPay Olive Young | SEOUL | COSMETIC STORE,38600.00 KOREAN (SOUTH) WON,'320242350415792937',"KOREA, REPUBLIC OF"
2024-08-20,Amex Platinum,ONLINE PAYMENT - THANK YOU,40,,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,'320242330364683456',
2024-08-20,Chase Ink,CATCH TABLE,-45.11,Merchandise & Inventory,,,,,
2024-08-20,Checking,AMERICAN EXPRESS ACH PMT    W5228           WEB ID: 2005032111,-40,ACH_DEBIT,,,,,
2024-08-20,Checking,AMERICAN EXPRESS ACH PMT    W5378           WEB ID: 2005032111,-40,ACH_DEBIT,,,,,
