date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-12-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-2.04,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,ORGVSL Co Ltd | $75.79 | FOREIGN TRANSACTION FEE,,'820243580717723634',
2024-12-22,Amex Blue Sky,FOREIGN TRANSACTION FEE,-2.41,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,YEONGCHEONYEONGHOASIKYUKSIKDAN | $89.57 | FOREIGN TRANSACTION FEE,,'820243580717733016',
2024-12-22,Amex Blue Sky,ORGVSL Co Ltd       SEOUL,-75.79,Restaurant-Restaurant,ORGVSL Co Ltd       SEOUL,RESTAURANT | ORGVSL Co Ltd | SEOUL | RESTAURANT,110000.00 KOREAN (SOUTH) WON,'320243580717723634',"KOREA, REPUBLIC OF"
2024-12-22,Amex Blue Sky,YEONGCHEONYEONGHOASISEOUL,-89.57,Restaurant-Restaurant,YEONGCHEONYEONGHOASISEOUL,RESTAURANT | YEONGCHEONYEONGHOASIKYUKSIKDAN | SEOUL | RESTAURANT,130000.00 KOREAN (SOUTH) WON,'320243580717733016',"KOREA, REPUBLIC OF"
