date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-02-01,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.14,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $5.32 | FOREIGN TRANSACTION FEE,,'820240330305918999',
2024-02-01,Amex Blue Sky,FOREIGN TRANSACTION FEE,-0.17,Fees & Adjustments-Fees & Adjustments,FOREIGN TRANSACTION FEE,UBER TRIP | $6.61 | FOREIGN TRANSACTION FEE,,'820240320265658444',
2024-02-01,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-5.32,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,PR50R43A DRPLU3SR | UBER TRIP | HTTPS://HELP.UBER.COM | DRPLU3SR,7100.00 KOREAN (SOUTH) WON,'320240330305918999',NETHERLANDS
2024-02-01,Amex Blue Sky,UBER TRIP           HTTPS://HELP.UBER.CO,-6.61,Transportation-Taxis & Coach,UBER TRIP           HTTPS://HELP.UBER.CO,3W52B5XK 334Z54NR | UBER TRIP | HTTPS://HELP.UBER.COM | 334Z54NR,8800.00 KOREAN (SOUTH) WON,'320240320265658444',NETHERLANDS
2024-02-01,Amex Platinum,(JOO)KEITIESEUTEITEUSEOUL,-95.46,Travel-Lodging,(JOO)KEITIESEUTEITEUSEOUL,LODGING | (JOO)KEITIESEUTEITEU | SEOUL | LODGING,127000.00 KOREAN (SOUTH) WON,'320240340320643070',"KOREA, REPUBLIC OF"
2024-02-01,Amex Platinum,ABGOOJEONGOLAKEULPIBSEOUL,-14.99,Business Services-Health Care Services,ABGOOJEONGOLAKEULPIBSEOUL,HOSPITAL | ABGOOJEONGOLAKEULPIBOOGOA | SEOUL | HOSPITAL,20000.00 KOREAN (SOUTH) WON,'320240330293335202',"KOREA, REPUBLIC OF"
2024-02-01,Chase Ink,DIGITALOCEAN.COM,-24,Office & Shipping,,,,,
