date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-04-06,Amex Platinum,(JOO) SEONGSINSSIENESEOUL,-7.39,Merchandise & Supplies-Hardware Supplies,(JOO) SEONGSINSSIENESEOUL,HOME SUPPLY WAREHOUSE | (JOO) SEONGSINSSIENEM DAISOJEO | SEOUL | HOME SUPPLY WAREHOUSE,10000.00 KOREAN (SOUTH) WON,'320240980879962502',"KOREA, REPUBLIC OF"
2024-04-06,Amex Platinum,BARIN               SEOUL,-87.97,Restaurant-Restaurant,BARIN               SEOUL,RESTAURANT | BARIN | SEOUL | RESTAURANT,119000.00 KOREAN (SOUTH) WON,'320240980879077459',"KOREA, REPUBLIC OF"
2024-04-06,Amex Platinum,JOYANG-mart         SEOUL,-1045.2,Merchandise & Supplies-Groceries,JOYANG-mart         SEOUL,"GROCERY STORE | 1,413,800.00 KOREAN (SOUTH) WON CONVERTED | JOYANG-mart | SEOUL | GROCERY STORE",1413800.00 KOREAN (SOUTH) WON,'320240980879960981',"KOREA, REPUBLIC OF"
2024-04-06,Amex Platinum,LIEOLSYAD GEONDAIJEOSEOUL,-5.91,Entertainment-Other Entertainment,LIEOLSYAD GEONDAIJEOSEOUL,RECREATION SERVICE | LIEOLSYAD GEONDAIJEOM | SEOUL | RECREATION SERVICE,8000.00 KOREAN (SOUTH) WON,'320240980879958766',"KOREA, REPUBLIC OF"
2024-04-06,Amex Platinum,LIEOLSYAD GEONDAIJEOSEOUL,-7.39,Entertainment-Other Entertainment,LIEOLSYAD GEONDAIJEOSEOUL,RECREATION SERVICE | LIEOLSYAD GEONDAIJEOM | SEOUL | RECREATION SERVICE,10000.00 KOREAN (SOUTH) WON,'320240980879959085',"KOREA, REPUBLIC OF"
2024-04-06,Amex Platinum,LIEOLSYAD GEONDAIJEOSEOUL,-17.74,Entertainment-Other Entertainment,LIEOLSYAD GEONDAIJEOSEOUL,RECREATION SERVICE | LIEOLSYAD GEONDAIJEOM | SEOUL | RECREATION SERVICE,24000.00 KOREAN (SOUTH) WON,'320240980879079594',"KOREA, REPUBLIC OF"
2024-04-06,Privacy,"COUPANG CO., LTD  5826227",-6.38,Privacy Card,Card ending in 6652,,,c4dfd01b-ddb2-4adb-9526-d08ee054f710,
