date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-05-12,Amex Platinum,KRP*Eximbay         SEOUL,5.41,Communications-Cable & Internet Comm,KRP*Eximbay         SEOUL,KRP*Eximbay | SEOUL,,'320241360848513649',"KOREA, REPUBLIC OF"
2024-05-12,Amex Platinum,KRP*Eximbay         SEOUL,-5.41,Communications-Cable & Internet Comm,KRP*Eximbay         SEOUL,COMPUTER NETWORK/INFO | KRP*Eximbay | SEOUL | COMPUTER NETWORK/INFO,7400.00 KOREAN (SOUTH) WON,'320241340811402020',"KOREA, REPUBLIC OF"
2024-05-12,Chase Ink,MOONHOAINDEUL(JOO) OLEUBI,-31.55,Food & Drink,,,,,
2024-05-12,Chase Ink,GELISEUN,-30.82,Food & Drink,,,,,
2024-05-12,Chase Ink,PAINAENCO,-63.84,Food & Drink,,,,,
