date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-09-14,Amex Platinum,APPLE.COM/BILL      INTERNET CHARGE     CA,-21.69,Merchandise & Supplies-Internet Purchase,APPLE.COM/BILL      INTERNET CHARGE     CA,MKB7L5N9F0A RECORD STORE | APPLE.COM/BILL | INTERNET CHARGE | CA | RECORD STORE,,'320242580020298787',
2024-09-14,Amex Platinum,APPLE.COM/BILL      INTERNET CHARGE     CA,-27.99,Merchandise & Supplies-Internet Purchase,APPLE.COM/BILL      INTERNET CHARGE     CA,MKB7L5GMKSA RECORD STORE | APPLE.COM/BILL | INTERNET CHARGE | CA | RECORD STORE,,'320242580020206195',
