date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-10-21,Amex Platinum,DOHO                SEOUL,-53.81,Restaurant-Restaurant,DOHO                SEOUL,RESTAURANT | DOHO | SEOUL | RESTAURANT,74000.00 KOREAN (SOUTH) WON,'320242960012619013',"KOREA, REPUBLIC OF"
2024-10-21,Amex Platinum,JANGSAINGGEONGANGUEOSEOUL,-30.54,Restaurant-Restaurant,JANGSAINGGEONGANGUEOSEOUL,RESTAURANT | JANGSAINGGEONGANGUEON | SEOUL | RESTAURANT,42000.00 KOREAN (SOUTH) WON,'320242960012655588',"KOREA, REPUBLIC OF"
2024-10-21,Amex Platinum,NYUYOKREOBEUBEIGEUL SEOUL,-12.65,Restaurant-Restaurant,NYUYOKREOBEUBEIGEUL SEOUL,RESTAURANT | NYUYOKREOBEUBEIGEUL GANGNAMBONJEOM | SEOUL | RESTAURANT,17400.00 KOREAN (SOUTH) WON,'320242960013390020',"KOREA, REPUBLIC OF"
