date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-06-01,Chase Ink,LIT LOUNGE        3240884,-21.93,Food & Drink,,,,,
2024-06-01,Chase Ink,PAINAENCO,-74.29,Food & Drink,,,,,
2024-06-01,Chase Ink,LIT LOUNGE        3240884,-8.77,Food & Drink,,,,,
2024-06-01,Chase Ink,(JOO)SAIBYEOKJIB,-111.83,Food & Drink,,,,,
2024-06-01,Chase Ink,LIT LOUNGE        3240884,-191.5,Food & Drink,,,,,
2024-06-01,Chase Ink,JOOSIKHOISAGEULLAIM,-38.74,Food & Drink,,,,,
2024-06-01,Chase Ink,LIT LOUNGE        3240884,-10.96,Food & Drink,,,,,
2024-06-01,Chase Ink,JOOSIKHOISAGEULLAIM,-18.27,Food & Drink,,,,,
